,TK_PLCS/FPIX/crate03/module04/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_03.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_08.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_08.value.converted:_original.._value,
,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,
"2018/01/19 19:25:33.373",,,,,,,,21.61,,,,,,
"2018/01/19 19:26:25.870",,,,,,,,,,20.69,,,,
"2018/01/19 19:26:28.379",,,,,,,,,,,,,20.93,
"2018/01/19 19:26:30.869",,,,,,21.24,,,,,,,,
"2018/01/19 19:26:38.369",,,,,,,,,,,20.82,,,
"2018/01/19 19:27:30.871",,,,,20.8,,,,,,,,,
"2018/01/19 19:28:40.875",,,,,,,,,,,,20.69,,
"2018/01/19 19:28:50.865",19.87,,,,,,,,,,,,,
"2018/01/19 19:30:10.873",,,,,,,,,20.29,,,,,
"2018/01/19 19:30:35.865",,19.79,,,,,,,,,,,,
"2018/01/19 19:30:53.371",,,,20.73,,,,,,,,,,
"2018/01/19 19:31:28.376",,,20.21,,,,,,,,,,,
"2018/01/19 19:32:30.876",,,,,,,,21.1,,,,,,
"2018/01/19 19:32:35.869",,,,,,,,,,20.18,,,,
"2018/01/19 19:32:43.371",,,,,,,20.56,,,,,,,
"2018/01/19 19:33:10.865",,,,,,,,,,,,,20.42,
"2018/01/19 19:33:18.445",,,,,,,,,,,20.29,,,
"2018/01/19 19:33:50.873",,,,,,20.73,,,,,,,,
"2018/01/19 19:36:30.860",,,,,20.29,,,,,,,,,
"2018/01/19 19:36:33.368",19.35,,,,,,,,,,,20.18,,
"2018/01/19 19:38:55.873",,,,,,,,,19.77,,,,,
"2018/01/19 19:39:00.873",,19.28,,,,,,,,,,,,
"2018/01/19 19:39:35.865",,,,20.21,,,,,,,,,,
"2018/01/19 19:41:28.381",,,,,,,,20.58,,,,,,
"2018/01/19 19:41:33.370",,,,,,,,,,19.66,,,,
"2018/01/19 19:43:00.863",,,,,,,,,,,19.77,,,
"2018/01/19 19:43:18.463",,,,,,20.21,,,,,,,19.9,
"2018/01/19 19:44:08.382",,,19.7,,,,,,,,,,,
"2018/01/19 19:45:18.438",,,,,,,20.04,,,,,,,
"2018/01/19 19:46:35.861",18.84,,,,,,,,,,,,,
"2018/01/19 19:47:30.871",,,,,,,,,,,,19.66,,
"2018/01/19 19:48:58.381",,,,,19.77,,,,,,,,,
"2018/01/19 19:49:03.363",,18.77,,,,,,,,,,,,
"2018/01/19 19:49:08.387",,,,,,,,,19.25,,,,,
"2018/01/19 19:51:13.371",,,,19.7,,,,,,,,,,
"2018/01/19 19:52:10.858",,,,,,,,,,19.14,,,,
"2018/01/19 19:53:20.861",,,,,,,,20.06,,,,,,
"2018/01/19 19:54:30.868",,,,,,,,,,,19.25,,,
"2018/01/19 19:54:33.363",,,,,,,,,,,,,19.38,
"2018/01/19 19:55:13.367",,,,,,19.7,,,,,,,,
"2018/01/19 19:57:15.863",,,19.18,,,,,,,,,,,
"2018/01/19 19:57:18.446",18.33,,,,,,,,,,,,,
"2018/01/19 19:58:38.369",,,,,,,19.53,,,,,,,
"2018/01/19 19:59:08.370",,,,,,,,,,,,19.14,,
"2018/01/19 19:59:58.380",,18.26,,,,,,,,,,,,
"2018/01/19 20:00:43.366",,,,,,,,,18.73,,,,,
"2018/01/19 20:01:28.385",,,,,19.26,,,,,,,,,
"2018/01/19 20:03:30.864",,,,19.18,,,,,,,,,,
"2018/01/19 20:03:33.371",,,,,,,,,,18.62,,,,
"2018/01/19 20:05:43.373",,,,,,,,19.55,,,,,,
"2018/01/19 20:07:20.869",,,,,,,,,,,18.73,,,
"2018/01/19 20:07:28.381",,,,,,19.18,,,,,,,,
"2018/01/19 20:08:10.866",,,,,,,,,,,,,18.86,
"2018/01/19 20:09:08.374",17.82,,,,,,,,,,,,,
"2018/01/19 20:10:08.378",,,18.67,,,,,,,,,,,
"2018/01/19 20:11:40.868",,,,,,,19.01,,,,,,,
"2018/01/19 20:12:30.866",,17.75,,,,,,,,,,,,
"2018/01/19 20:13:25.876",,,,,,,,,,,,18.62,,
"2018/01/19 20:13:33.379",,,,,,,,,18.2,,,,,
"2018/01/19 20:14:40.863",,,,,18.75,,,,,,,,,
"2018/01/19 20:16:28.381",,,,18.67,,,,,,,,,,
"2018/01/19 20:17:10.871",,,,,,,,,,18.09,,,,
"2018/01/19 20:19:03.368",,,,,,,,19.04,,,,,,
"2018/01/19 20:20:48.455",,,,,,18.67,,,,,,,,
"2018/01/19 20:23:20.875",,,,,,,,,,,18.2,,,
"2018/01/19 20:23:33.366",,,18.16,,,,,,,,,,,
"2018/01/19 20:23:40.868",17.31,,,,,,,,,,,,,
"2018/01/19 20:24:35.870",,,,,,,,,,,,,18.33,
"2018/01/19 20:25:45.863",,,,,,,18.5,,,,,,,
"2018/01/19 20:27:40.860",,17.23,,,,,,,,,,,,
"2018/01/19 20:28:25.867",,,,,18.23,,,,,,,,,
"2018/01/19 20:30:03.365",,,,,,,,,17.68,,,,,
"2018/01/19 20:30:38.386",,,,18.16,,,,,,,,,,
"2018/01/19 20:31:10.860",,,,,,,,,,,,18.09,,
"2018/01/19 20:32:55.869",,,,,,,,,,17.57,,,,
"2018/01/19 20:33:15.867",,,,,,,,18.53,,,,,,
"2018/01/19 20:34:40.871",,,,,,18.16,,,,,,,,
"2018/01/19 20:38:53.376",,,17.65,,,,,,,,,,,
"2018/01/19 20:41:05.869",16.8,,,,,,17.99,,,,,,,
"2018/01/19 20:42:25.874",,,,,,,,,,,17.68,,,
"2018/01/19 20:43:05.864",,,,,17.72,,,,,,,,,
"2018/01/19 20:44:55.867",,,,,,,,,,,,,17.81,
"2018/01/19 20:45:33.373",,16.72,,,,,,,,,,,,
"2018/01/19 20:46:05.871",,,,17.65,,,,,,,,,,
"2018/01/19 20:49:05.879",,,,,,,,18.01,,,,,,
"2018/01/19 20:49:28.382",,,,,,,,,17.16,,,,,
"2018/01/19 20:50:20.868",,,,,,17.65,,,,,,,,
"2018/01/19 20:52:15.872",,,,,,,,,,,,17.57,,
"2018/01/19 20:53:13.366",,,,,,,,,,17.05,,,,
"2018/01/19 20:56:05.865",,,17.14,,,,,,,,,,,
"2018/01/19 20:58:50.867",,,,,,,17.48,,,,,,,
"2018/01/19 21:01:03.365",,,,,17.21,,,,,,,,,
"2018/01/19 21:03:28.458",16.28,,,,,,,,,,,,,
"2018/01/19 21:03:58.380",,,,17.14,,,,,,,,,,
"2018/01/19 21:06:40.873",,,,,,,,17.5,,,17.16,,,
"2018/01/19 21:08:43.375",,16.21,,,,,,,,,,,,
"2018/01/19 21:08:45.866",,,,,,17.14,,,,,,,,
"2018/01/19 21:09:25.872",,,,,,,,,,,,,17.29,
"2018/01/19 21:15:03.372",,,,,,,,,16.63,,,,,
"2018/01/19 21:18:18.454",,,,,,,,,,16.53,,,,
"2018/01/19 21:18:58.377",,,16.62,,,,,,,,,,,
"2018/01/19 21:19:28.375",,,,,,,,,,,,17.05,,
"2018/01/19 21:21:05.874",,,,,,,16.97,,,,,,,
"2018/01/19 21:24:03.370",,,,,16.7,,,,,,,,,
"2018/01/19 21:26:33.366",,,,16.62,,,,,,,,,,
"2018/01/19 21:29:23.373",,,,,,,,16.99,,,,,,
"2018/01/19 21:31:48.443",,,,,,16.62,,,,,,,,
"2018/01/19 21:33:55.864",15.77,,,,,,,,,,,,,
"2018/01/19 21:38:40.869",,15.69,,,,,,,,,,,,
"2018/01/19 21:39:35.868",,,,,,,,,,,16.63,,,
"2018/01/19 21:42:38.368",,,,,,,,,,,,,16.76,
"2018/01/19 21:46:00.870",,,16.11,,,,,,,,,,,
"2018/01/19 21:47:20.866",,,,,,,,,16.11,,,,,
"2018/01/19 21:49:03.371",,,,,,,16.45,,,,,,,
"2018/01/19 21:50:08.374",,,,,,,,,,16,,,,
"2018/01/19 21:51:00.870",,,,,16.18,,,,,,,,,
"2018/01/19 21:54:48.524",,,,16.11,,,,,,,,,,
"2018/01/19 21:56:40.873",,,,,,,,,,,,16.53,,
"2018/01/19 21:57:53.375",,,,,,,,16.48,,,,,,
"2018/01/19 21:59:23.365",,,,,,16.11,,,,,,,,
"2018/01/19 22:11:05.872",15.25,,,,,,,,,,,,,
"2018/01/19 22:16:33.370",,15.18,,,,,,,,,,,,
"2018/01/19 22:20:00.870",,,15.6,,,,,,,,,,,
"2018/01/19 22:22:53.377",,,,,,,,,,,16.11,,,
"2018/01/19 22:23:13.374",,,,,,,15.94,,,,,,,
"2018/01/19 22:24:53.370",,,,,15.67,,,,,,,,,
"2018/01/19 22:26:50.866",,,,,,,,,,,,,16.24,
"2018/01/19 22:28:30.861",,,,,,,,,15.59,,,,,
"2018/01/19 22:29:30.868",,,,15.6,,,,,,,,,,
"2018/01/19 22:31:48.453",,,,,,,,,,15.48,,,,
"2018/01/19 22:32:40.859",,,,,,,,15.96,,,,,,
"2018/01/19 22:34:38.382",,,,,,15.6,,,,,,,,
"2018/01/19 22:45:10.860",,,,,,,,,,,,16,,
"2018/01/19 23:01:08.387",14.74,,,,,,,,,,,,,
"2018/01/19 23:03:05.862",,,15.08,,,,,,,,,,,
"2018/01/19 23:08:20.870",,,,,,,15.42,,,,,,,
"2018/01/19 23:10:18.443",,14.66,,,,,,,,,,,,
"2018/01/19 23:10:38.369",,,,,15.15,,,,,,,,,
"2018/01/19 23:14:23.369",,,,15.08,,,,,,,,,,
"2018/01/19 23:18:35.862",,,,,,,,15.45,,,,,,
"2018/01/19 23:19:38.375",,,,,,15.08,,,,,,,,
"2018/01/19 23:23:10.868",,,,,,,,,,,15.59,,,
"2018/01/19 23:24:10.870",,,,,,,,,15.06,,,,,
"2018/01/19 23:26:58.370",,,,,,,,,,,,,15.72,
"2018/01/19 23:27:53.363",,,,,,,,,,14.95,,,,
"2018/01/19 23:49:35.862",,,,,,,,,,,,15.48,,
"2018/01/20 00:01:15.870",,,14.57,,,,,,,,,,,
"2018/01/20 00:06:48.516",,,,,,,14.91,,,,,,,
"2018/01/20 00:08:05.874",14.23,,,,,,,,,,,,,
"2018/01/20 00:08:25.873",,,,,14.64,,,,,,,,,
"2018/01/20 00:14:48.456",,,,14.57,,,,,,,,,,
"2018/01/20 00:17:25.867",,,,,,,,14.93,,,,,,
"2018/01/20 00:20:13.375",,14.15,,,,,,,,,,,,
"2018/01/20 00:22:05.869",,,,,,14.57,,,,,,,,
"2018/01/20 00:41:35.868",,,,,,,,,14.54,,,,,
"2018/01/20 00:51:50.876",,,,,,,,,,14.43,,,,
"2018/01/20 00:56:05.868",,,,,,,,,,,15.06,,,
"2018/01/20 01:05:25.874",,,,,,,,,,,,,15.19,
"2018/01/20 04:52:35.874",,,,,,,,,,14.95,,,,
"2018/01/20 04:56:25.889",,,,,,,,,15.06,,,,,
"2018/01/20 05:02:10.874",,,,,,,,,,,15.57,,,
"2018/01/20 05:02:50.871",,,,,,,,,,,,,15.7,
"2018/01/20 05:08:25.873",,14.66,,,,,,,,,,,,
"2018/01/20 05:10:08.376",14.74,,,,,,,,,,,,,
"2018/01/20 05:30:30.864",,,,,,,15.42,,,,,,,
"2018/01/20 05:32:05.864",,,,,15.15,,,,,,,,,
"2018/01/20 05:32:33.362",,,,,,15.08,,,,,,,,
