,TK_PLCS/FPIX/crate02/module06/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_03.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_08.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_03.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_08.value.converted:_original.._value,
,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,
"2017/12/16 16:15:35.916",,,,0.93,,,,,,,,,,,,,
"2017/12/16 16:36:55.989",,,,,,,,,,,,,0.88,,,,
"2017/12/16 18:27:45.985",,1.2,,,,,,,,,,,,,,,
"2017/12/16 20:18:08.413",,,,,,,,,,,,0.59,,,,,
"2017/12/17 02:49:00.909",,,,,,,0.76,,,,,,,,,,
"2017/12/17 03:10:25.910",,,0.51,,,,,,,,,,,,,,
"2017/12/17 03:53:20.925",,,,,,,,,,0.63,,,,,,,
"2017/12/20 14:14:38.434",,,,,,,,,1.07,,,,,,,,
"2017/12/20 23:21:43.423",,,,,,,,,,,,,,,0.78,,
"2017/12/20 23:43:10.929",,,,,,,,,,,,,,,,0.76,
"2017/12/20 23:49:30.924",,,,,,,,,,,,,,0.22,,,
"2017/12/20 23:49:46.000",0.46,,,,,,,,,,,,,,,,
"2017/12/21 08:37:29.048",,,0.49,,,,,,,0.61,,,,0.2,0.76,0.73,
"2017/12/21 08:37:46.525",,1.17,,,,,,,,,,,,,,,
"2017/12/21 08:38:31.522",,,,,,,0.73,,,,,,,,,,
"2017/12/21 08:40:16.520",,,,,0.15,,,,,,,,,,,,
"2017/12/21 08:41:46.516",,,,,,0.83,,,,,,,,,,,
"2017/12/21 08:43:26.517",,,,,,,,,,,,0.56,,,,,
"2017/12/21 08:47:39.037",,,,,,,,,1.05,,,,,,,,
"2017/12/21 08:50:21.520",,,,,0.17,,,,,,,,,,,,
"2017/12/21 08:52:01.521",,1.2,,,,,,,,,,,,,,,
"2017/12/21 08:52:06.521",,,,,,0.81,,,,,,,,,,,
"2017/12/21 08:52:31.524",,,,,,,,,1.07,,,,,,,,
"2017/12/21 08:53:54.016",,,,,,,0.76,,,,,,,,,,
"2017/12/21 08:54:41.204",,1.17,,,,,0.73,,,,,,,,,,
"2017/12/21 08:54:48.690",,,,,,,,,,,,0.59,,,,,
"2017/12/21 08:54:53.687",,,0.51,,,,,,,,,,,,,,
"2017/12/21 08:57:01.208",,,,,,,,,1.05,,,,,,,,
"2017/12/21 08:57:48.680",,,,,0.15,,,,,,,,,,,,
"2017/12/21 08:59:33.692",,,,,,0.78,,,,,,,,,,,
"2017/12/21 09:03:36.196",0.49,,,,,,,,,,,,,,,,
"2017/12/21 09:03:48.691",,,,,,,,,,0.63,,,,,,,
"2017/12/21 09:04:03.694",,,,,,,,,,,,,,0.22,,,
"2017/12/21 09:13:56.185",,,,0.9,,,,,,,,,,,,,
"2017/12/21 09:26:23.691",,,,,,,,,,,,,,,0.78,,
"2017/12/21 09:27:41.348",,,,,,,,,,,,,,,,0.76,
"2017/12/21 09:39:46.197",,,,,,,,,,,,,0.85,,,,
"2017/12/21 10:49:21.207",,,,,,0.81,,,,,,,,,,,
"2017/12/21 10:50:11.347",,,,,0.17,,,,,,,,,,,,
"2017/12/21 10:51:51.200",,,,,,,,,,,,,,,,0.73,
"2017/12/21 10:53:03.682",,,0.49,,,,,,,,,,,,,,
"2017/12/21 10:56:08.690",,,,,,,,,,,,,,,0.76,,
"2017/12/21 10:56:28.681",,,,,,,,,,0.61,,,,,,,
"2017/12/21 10:57:13.687",,,,,,,,,,,,0.56,,,,,
"2017/12/21 10:57:18.692",,,,,,,,,1.07,,,,,,,,
"2017/12/21 10:57:33.693",,1.2,,,,,,,,,,,,,,,
"2017/12/21 13:37:11.268",,,,0.93,,,,,,,,,,,,,
"2017/12/21 14:52:33.689",,,,,,,,,,,,0.59,,,,,
"2017/12/21 15:30:06.191",,,,,,,,,,,,,,,0.78,,
"2017/12/21 15:34:38.678",,,,,,,,,,,,,,,,0.76,
"2017/12/21 15:39:56.186",,,,,,,0.76,,,,,,,,,,
"2017/12/21 15:40:06.181",0.46,,,,,,,,,,,,,,,,
"2017/12/21 15:40:21.200",,,,,,,,,,0.63,,,,,,,
"2017/12/21 15:40:28.682",,,,,,,,,,,,,,0.2,,,
"2017/12/21 15:41:28.277",,,,,,,,,,,,,,0.22,,,
"2017/12/21 15:41:38.282",,,0.51,,,,,,,,,,,,,,
"2017/12/21 15:41:58.279",,,,,,,,,,0.61,,,,,,,
"2017/12/21 15:42:10.792",,,,,,,,,,,,,,,,0.73,
"2017/12/21 15:45:55.785",,,,,,0.83,,,,,,,,,,,
"2017/12/21 15:46:20.862",,,,,0.2,,,,,,,,,,,,
"2017/12/21 15:46:43.285",,,,,,,0.73,,,,,,,,,,
"2017/12/21 15:46:53.284",0.49,,,,,,,,,,,,,,,,
"2017/12/21 15:52:48.290",,,,,,,,,,,,,,,0.76,,
"2017/12/21 16:28:15.786",,,,,,,,,,,0.29,,,,,,
"2017/12/21 16:32:55.786",327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,
"2017/12/21 16:34:35.788",,,,,,,,21.41,34.01,21.85,21.85,21.92,22.29,21.78,22.02,22.19,
"2017/12/21 16:34:38.290",22,22.22,21.49,21.24,21.56,21.12,21.83,,22.24,,,,,,,,
"2017/12/21 16:37:40.802",,,,,,,,,,,22.36,,,,,,
"2017/12/21 16:37:53.290",,,,,,,,,,,,22.44,,,,,
"2017/12/21 16:38:00.801",,,,,,,,,,,,,,22.29,,,
"2017/12/21 16:38:23.285",22.51,,,,,,,,,,,,,,,,
"2017/12/21 16:38:28.287",,,,,,,,,,22.36,,,,,,,
"2017/12/21 16:38:30.795",,,,,,,,,,,,,22.8,,,,
"2017/12/21 16:38:35.790",,,,,,,,,22.75,,,,,,,,
"2017/12/21 16:38:53.293",,,,,,,,,,,,,,,22.53,,
"2017/12/21 16:39:00.804",,22.73,,,,,,,,,,,,,,,
"2017/12/21 16:41:48.279",,,,21.75,,,,,,,,,,,,,
"2017/12/21 16:43:45.782",23.02,,,,,,,,,,,,,,,,
"2017/12/21 16:43:50.874",,,,,,,,,,22.88,,,,,,,
"2017/12/21 16:43:55.785",,,22,,,,,,,,,,,,,,
"2017/12/21 16:44:03.287",,,,,,21.63,,,,,,,,,,,
"2017/12/21 16:44:20.873",,,,,,,,,23.27,,,,,,,,
"2017/12/21 16:44:50.881",,23.24,,,,,,,,,,,,,,,
"2017/12/21 16:45:15.782",,,,,,,,21.92,,,,,,,,,
"2017/12/21 16:45:20.863",,,,,,,,,,,22.88,,,,,,
"2017/12/21 16:46:15.786",,,,,,,,,,,,,,,,22.7,
"2017/12/21 16:46:25.783",,,,,,,,,,,,22.95,,,,,
"2017/12/21 16:46:58.283",,,,,,,,,,,,,,22.8,,,
"2017/12/21 16:49:18.279",,,,,22.07,,,,,,,,,,,,
"2017/12/21 16:50:48.283",,,,,,,,,,23.39,,,,,,,
"2017/12/21 16:50:55.784",23.54,,,,,,,,,,,,,,,,
"2017/12/21 16:51:03.279",,,,,,,,,23.78,,,,,,,,
"2017/12/21 16:51:43.282",,,,,,,,,,,,,,,23.05,,
"2017/12/21 16:52:28.285",,,,22.27,,,,,,,,,,,,,
"2017/12/21 16:54:40.876",,23.76,,,,,,,,,,,,,,,
"2017/12/21 16:56:15.781",,,,,,,,,24.3,,,,23.32,,,,
"2017/12/21 16:56:30.872",,,,,,,,,,23.91,,,,,,,
"2017/12/21 16:57:58.289",,,,,,,22.34,,,,,,,,,,
"2017/12/21 16:58:23.288",,,,,,22.14,,,,,,,,,,,
"2017/12/21 16:59:23.284",24.05,,,,,,,,,,,,,,,,
"2017/12/21 17:01:15.785",,,22.51,,,,,,,,,,,,,,
"2017/12/21 17:02:10.807",,,,,,,,,24.81,,,,,,,,
"2017/12/21 17:03:33.286",,,,,,,,,,24.42,,,,,,,
"2017/12/21 17:04:28.288",,,,,,,,22.44,,,,,,,,,
"2017/12/21 17:04:35.789",,24.27,,,,,,,,,,,,,,,
"2017/12/21 17:08:00.797",,,,,,,,,,,23.39,,,,,,
"2017/12/21 17:08:05.794",24.57,,,,,,,,,,,,,,,,
"2017/12/21 17:10:10.804",,,,,,,,,,,,,,,,23.22,
"2017/12/21 17:10:33.290",,,,,,,,,,,,23.46,,,,,
"2017/12/21 17:10:53.283",,,,,,,,,,,,,,23.32,,,
"2017/12/21 17:11:30.804",,,,,22.58,,,,,,,,,,,,
"2017/12/21 17:12:35.789",,,,22.78,,,,,,,,,,,,,
"2017/12/21 17:21:55.794",,,,,,,,,24.3,,,,,,,,
"2017/12/21 17:23:33.293",,,,,,22.66,,,,,,,,,,,
"2017/12/21 17:24:08.285",,,,,,,,,,23.91,,,,,,,
"2017/12/21 17:24:58.288",24.05,,,,,,,,,,,,,,,,
"2017/12/21 17:26:38.281",,23.76,,,,,,,,,,,,,,,
"2017/12/21 17:30:05.788",,,,,,,,,23.78,,,,,,,,
"2017/12/21 17:37:08.283",,,,,,,,,,23.39,,,,,,,
"2017/12/21 17:41:50.872",23.54,,,,,,,,,,,,,,,,
"2017/12/21 17:49:18.285",,,,,,,22.85,,,,,,,,,,
"2017/12/21 17:52:10.806",,23.24,,,,,,,,,,,,,,,
"2017/12/21 18:08:33.287",,,,,,,,22.95,,,,,,,,,
"2017/12/21 18:13:48.287",,,,,,,,,23.27,,,,,,,,
"2017/12/21 18:38:38.284",,,23.02,,,,,,,,,,,,,,
"2017/12/21 18:38:50.871",,,,,,,,,23.78,,,,,,,,
"2017/12/21 18:39:30.803",,23.76,,,,,,,,,,,,,,,
"2017/12/21 18:40:55.784",,,,,23.1,,,,,,,,,,,,
"2017/12/21 19:12:08.284",,23.24,,,,,,,,,,,,,,,
"2017/12/21 19:40:33.285",,,,,,,,,23.27,,,,,,,,
"2017/12/21 20:44:23.292",,,,,,,,,,,,22.95,,,,,
"2017/12/21 21:06:40.795",,,,,,,,,,,,,,22.8,,,
"2017/12/21 21:15:08.284",,,,,,,,,,,22.88,,,,,,
"2017/12/21 21:35:15.788",,,,,,,,,,22.88,,,,,,,
"2017/12/21 22:06:48.280",,,,,,,,,,,,,,,,22.7,
"2017/12/21 22:09:58.286",23.02,,,,,,,,,,,,,,,,
"2017/12/21 22:16:08.295",,,,,,,,,,,,,22.8,,,,
"2017/12/21 23:11:50.875",,22.73,,,,,,,,,,,,,,,
"2017/12/22 00:14:35.783",,,,,,,,,22.75,,,,,,,,
"2017/12/22 00:53:13.287",,,22.51,,,,,,,,,,,,,,
"2017/12/22 01:15:03.289",,,,,22.58,,,,,,,,,,,,
